Objectid,Year,County,City,Medprice,Medprice_Ia,Percentchngprice,Percentchngpriceia,Source
255,2002,Santa Clara County,Los Altos Hills,2628000,4218000,0.314657328664332,0.227233052080303,Zillow
256,2002,Santa Clara County,Los Gatos,978000,1570000,0.172661870503597,0.094839609483961,Zillow
257,2002,Santa Clara County,Milpitas,490000,787000,0.203931203931204,0.125894134477826,Zillow
258,2002,Santa Clara County,Monte Sereno,1976000,3172000,0.304290429042904,0.218125960061444,Zillow
259,2002,Santa Clara County,Morgan Hill,578000,929000,0.206680584551148,0.128797083839611,Zillow
260,2002,Santa Clara County,Mountain View,634000,1018000,0.140287769784173,0.064853556485356,Zillow
261,2002,Santa Clara County,Palo Alto,1194000,1916000,0.117977528089888,0.043572984749455,Zillow
262,2002,Santa Clara County,San Jose,501000,804000,0.224938875305623,0.142045454545455,Zillow
263,2002,Santa Clara County,Santa Clara,521000,837000,0.18140589569161,0.104221635883905,Zillow
264,2002,Santa Clara County,Saratoga,1465000,2352000,0.251067463706234,0.168405365126677,Zillow
265,2002,Santa Clara County,Sunnyvale,612000,983000,0.16793893129771,0.08980044345898,Zillow
266,2002,Solano County,Benicia,393000,631000,0.364583333333333,0.274747474747475,Zillow
267,2002,Solano County,Dixon,286000,459000,0.381642512077295,0.285714285714286,Zillow
1169,2012,Marin County,Tiburon,1739000,2248000,0.3912,0.046554934823091,Zillow
268,2002,Solano County,Fairfield,295000,474000,0.391509433962264,0.298630136986301,Zillow
269,2002,Solano County,Rio Vista,265000,426000,0.318407960199005,0.23121387283237,Zillow
270,2002,Solano County,Suisun City,271000,435000,0.411458333333333,0.314199395770393,Zillow
271,2002,Solano County,Vacaville,289000,464000,0.382775119617225,0.292479108635098,Zillow
272,2002,Solano County,Vallejo,279000,449000,0.438144329896907,0.340298507462687,Zillow
273,2002,Sonoma County,Cloverdale,347000,557000,0.36078431372549,0.271689497716895,Zillow
274,2002,Sonoma County,Cotati,372000,598000,0.367647058823529,0.275053304904051,Zillow
275,2002,Sonoma County,Healdsburg,540000,867000,0.35,0.262008733624454,Zillow
276,2002,Sonoma County,Petaluma,422000,677000,0.31055900621118,0.21981981981982,Zillow
277,2002,Sonoma County,Rohnert Park,343000,551000,0.334630350194552,0.246606334841629,Zillow
278,2002,Sonoma County,Santa Rosa,359000,576000,0.344569288389513,0.254901960784314,Zillow
279,2002,Sonoma County,Sebastopol,505000,811000,0.321989528795811,0.234398782343988,Zillow
280,2002,Sonoma County,Sonoma,499000,801000,0.35230352303523,0.263406940063091,Zillow
281,2002,Sonoma County,Windsor,375000,603000,0.344086021505376,0.25625,Zillow
282,2003,Alameda County,Alameda,530000,835000,0.376623376623377,0.261329305135952,Zillow
283,2003,Alameda County,Albany,491000,775000,0.41907514450867,0.302521008403361,Zillow
284,2003,Alameda County,Berkeley,605000,954000,0.359550561797753,0.247058823529412,Zillow
285,2003,Alameda County,Dublin,516000,814000,0.323076923076923,0.213114754098361,Zillow
286,2003,Alameda County,Emeryville,269000,425000,0.454054054054054,0.332288401253918,Zillow
287,2003,Alameda County,Fremont,497000,784000,0.314814814814815,0.206153846153846,Zillow
288,2003,Alameda County,Hayward,381000,601000,0.448669201520913,0.329646017699115,Zillow
289,2003,Alameda County,Livermore,444000,700000,0.325373134328358,0.215277777777778,Zillow
290,2003,Alameda County,Newark,435000,686000,0.342592592592593,0.231597845601436,Zillow
291,2003,Alameda County,Oakland,393000,621000,0.547244094488189,0.421052631578947,Zillow
292,2003,Alameda County,Piedmont,743000,1172000,0.358318098720292,0.24548352816153,Zillow
293,2003,Alameda County,Pleasanton,591000,933000,0.287581699346405,0.182509505703422,Zillow
294,2003,Alameda County,San Leandro,385000,608000,0.458333333333333,0.336263736263736,Zillow
295,2003,Alameda County,Union City,452000,713000,0.36144578313253,0.250877192982456,Zillow
296,2003,Contra Costa County,Antioch,518000,817000,0.471590909090909,0.350413223140496,Zillow
297,2003,Contra Costa County,Brentwood,442000,698000,0.389937106918239,0.273722627737226,Zillow
298,2003,Contra Costa County,Concord,239000,378000,0.49375,0.369565217391304,Zillow
299,2003,Contra Costa County,Danville,1026000,1619000,0.413223140495868,0.296236989591673,Zillow
300,2003,Contra Costa County,Lafayette,802000,1264000,0.427046263345196,0.307135470527404,Zillow
301,2003,Contra Costa County,Martinez,363000,573000,0.493827160493827,0.370813397129187,Zillow
302,2003,Contra Costa County,Oakley,377000,594000,0.47843137254902,0.356164383561644,Zillow
303,2003,Contra Costa County,Pittsburg,419000,661000,0.507194244604316,0.382845188284519,Zillow
304,2003,Contra Costa County,Pleasant Hill,632000,997000,0.487058823529412,0.362021857923497,Zillow
305,2003,Contra Costa County,Richmond,385000,608000,0.486486486486486,0.366292134831461,Zillow
306,2003,Contra Costa County,San Pablo,245000,386000,0.475903614457831,0.34965034965035,Zillow
307,2003,Contra Costa County,San Ramon,654000,1031000,0.397435897435897,0.282338308457711,Zillow
308,2003,Contra Costa County,Walnut Creek,556000,878000,0.407594936708861,0.293078055964654,Zillow
309,2003,Marin County,Belvedere,2707000,4269000,0.34009900990099,0.22955069124424,Zillow
310,2003,Marin County,Corte Madera,898000,1416000,0.271954674220963,0.166392092257002,Zillow
311,2003,Marin County,Fairfax,620000,977000,0.330472103004292,0.218204488778055,Zillow
312,2003,Marin County,Larkspur,935000,1475000,0.313202247191011,0.204081632653061,Zillow
313,2003,Marin County,Mill Valley,1012000,1596000,0.271356783919598,0.166666666666667,Zillow
314,2003,Marin County,Novato,608000,959000,0.366292134831461,0.251958224543081,Zillow
315,2003,Marin County,Ross,2025000,3193000,0.466328747284576,0.344987363100253,Zillow
316,2003,Marin County,San Anselmo,773000,1220000,0.32590051457976,0.217564870259481,Zillow
317,2003,Marin County,San Rafael,701000,1106000,0.335238095238095,0.224806201550388,Zillow
318,2003,Marin County,Sausalito,876000,1381000,0.327272727272727,0.216740088105727,Zillow
319,2003,Marin County,Tiburon,1673000,2638000,0.3384,0.228119180633147,Zillow
320,2003,Napa County,American Canyon,324000,511000,0.653061224489796,0.511834319526627,Zillow
321,2003,Napa County,Calistoga,605000,955000,0.523929471032746,0.396198830409357,Zillow
322,2003,Napa County,Napa,420000,662000,0.573033707865169,0.442265795206972,Zillow
323,2003,Napa County,Yountville,928000,1464000,0.538971807628524,0.411764705882353,Zillow
1845,2019,Napa County,Napa,694000,728000,1.599250936329588,0.586056644880174,Zillow
324,2003,San Francisco County,San Francisco,637000,1005000,0.31340206185567,0.203592814371258,Zillow
325,2003,San Mateo County,Atherton,4011000,6325000,0.365214431586113,0.252227281726391,Zillow
326,2003,San Mateo County,Belmont,758000,1196000,0.191823899371069,0.093235831809872,Zillow
327,2003,San Mateo County,Brisbane,573000,903000,0.308219178082192,0.199203187250996,Zillow
328,2003,San Mateo County,Burlingame,924000,1458000,0.218997361477573,0.118956254796623,Zillow
